long;lat;id;nombre;categoria;cocina;ambientacion;telefono;mail;horario;calle_nombre;calle_altura;calle_cruce;direccion_completa;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,44986866;-34,5675435;579;CAFE BOUQUET;;MINUTAS;CLASICO PORTEÑO;4787 1580;;;CABILDO;1400;;CABILDO AV. 1400;Colegiales;Comuna 13;1426;C1426ABN
-58,38883178;-34,61131564;1357;CAFE BUENOS AIRES;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4372 6734;;;ALSINA ADOLFO;1600;;ALSINA, ADOLFO 1600;Monserrat;Comuna 1;1088;C1088AAN
-58,37769145;-34,60707152;2170;CAFECITO;CAFE;MINUTAS;MODERNO;4343 5222;;lunes a domingo de 8 a 1;MITRE BARTOLOME;790;;MITRE, BARTOLOME 790;San Nicolas;Comuna 1;1036;C1036AAN
-58,45441389;-34,60565194;971;CAFE DE GARCIA;CAFE;MINUTAS;CLASICO PORTEÑO;;;;SAN MARTIN;1828;;SAN MARTIN AV. 1828;Caballito;Comuna 6;1416;C1416CRT
-58,42235342;-34,57744139;73;CAFE DE LA AMISTAD;BAR;MINUTAS;MODERNO;4772 6929;;;JUNCAL;4499;;JUNCAL 4499;Palermo;Comuna 14;1425;C1425BAA
-58,39488189;-34,604407;717;CAFE DE LA CASONA;RESTAURANTE;;;;;;CORRIENTES;1979;;CORRIENTES AV. 1979;Balvanera;Comuna 3;1045;C1045AAB
-58,38067118;-34,60356973;2158;CAFE DE LA CIUDAD;CAFE;MINUTAS;;4322 6174;;;CORRIENTES;999;;CORRIENTES AV. 999;San Nicolas;Comuna 1;1043;C1043AAJ
-58,4357554;-34,61926552;974;CAFE DE LA ESQUINA;RESTAURANTE;;;;;;ROSARIO;495;;ROSARIO 495;Caballito;Comuna 6;1424;C1424CCI
-58,39954379;-34,60226056;718;CAFE DE LA ESQUINA;CAFE;MINUTAS;MODERNO;;;;TUCUMAN;2300;;TUCUMAN 2300;Balvanera;Comuna 3;1051;C1051ACB
-58,39880947;-34,59983513;715;CAFE DE LA FACU;CAFE;MINUTAS;LITERARIO;4951 6438;;;CORDOBA;2202;;CORDOBA AV. 2202;Balvanera;Comuna 3;1120;C1120AAR
-58,38327006;-34,6109465;1355;CAFE DE LA FLOR;CAFE;MINUTAS;MODERNO;4384 6196;;;ALSINA ADOLFO;1200;;ALSINA, ADOLFO 1200;Monserrat;Comuna 1;1088;C1088AAF
-58,39063814;-34,58771974;1674;CAFE DE LA PAIX;RESTAURANTE;INTERNACIONAL;MODERNO;4804 6820;;;QUINTANA;595;;QUINTANA, MANUEL, PRES. AV. 595;Recoleta;Comuna 2;1129;C1129ABB
-58,51027234;-34,59965738;2699;CAFE DE LA PLAZA;RESTAURANTE;MEDITERRANEA;;4502 4748;www.cafedelaplaza.com.ar;;LINCOLN;3990;;LINCOLN AV. 3990;Villa Devoto;Comuna 11;1419;C1419IFR
-58,39712103;-34,59999937;716;CAFE DE LAS CIENCIAS;RESTAURANTE;INTERNACIONAL;MODERNO;4374 0400;dlascienciaspizza@hotmail.com;;JUNIN;785;;JUNIN 785;Balvanera;Comuna 3;1026;C1026ABO
-58,38582654;-34,60155269;2160;CAFE DE LAS CORTES;CAFE;MINUTAS;MODERNO;4373 2542;cafedelascortes@hotmail.com;lunes a viernes de 7 a 18;TUCUMAN;1327;;TUCUMAN 1327;San Nicolas;Comuna 1;1050;C1050AAA
-58,42597521;-34,58850147;75;CAFE DE LA SEDA;BAR;INTERNACIONAL;CLASICO PORTEÑO;4831 4040;;;ARMENIA;1820;;ARMENIA 1820;Palermo;Comuna 14;1414;C1414DKN
-58,37535564;-34,59959081;2161;CAFE DE LAS GALERIAS;CONFITERIA;MINUTAS;MODERNO;5555 5125;;;FLORIDA;725;;FLORIDA 725;San Nicolas;Comuna 1;1005;C1005AAO
-58,37338355;-34,61072701;1358;CAFE DE LAS LUCES;CAFE;INTERNACIONAL;CLASICO PORTEÑO;4342 9312;cafedelasluces@yahoo.com;;BOLIVAR;240;;BOLIVAR 240;Monserrat;Comuna 1;1066;C1066AAF
-58,43011654;-34,61476045;972;CAFE DE LA SUBASTA;BAR;MINUTAS;ANTIGUO;;;;RIO DE JANEIRO;54;;RIO DE JANEIRO 54;Caballito;Comuna 6;1405;C1405CBB
-58,41656099;-34,5846349;76;CAFE DEL BOTANICO;CAFE;INTERNACIONAL;MODERNO;4833 5515;;;SANTA FE;3799;;SANTA FE AV. 3799;Palermo;Comuna 14;1425;C1425BGM
-58,50304879;-34,59474317;2700;CAFE DEL LIBERTADOR;CAFE;SANDWICHERIA;ITALIANA;;;;SAN MARTIN;6202;;SAN MARTIN AV. 6202;Villa Devoto;Comuna 11;1419;C1419IBS
-58,46736075;-34,57724024;2752;CAFE DE LOS INCAS;RESTAURANTE;SANDWICHERIA;BRITANICA;4553 1727;;;DE LOS INCAS;3909;;DE LOS INCAS AV. 3909;Villa Ortuzar;Comuna 15;1427;C1427DNE
-58,39713142;-34,60214663;719;CAFE DEL SIGLO;RESTAURANTE;MINUTAS;;4951 3313;;;TUCUMAN;2101;;TUCUMAN 2101;Balvanera;Comuna 3;1050;C1050AAQ
-58,37115341;-34,60069955;2163;CAFE DE MI PAIS;CONFITERIA;INTERNACIONAL;;4312 7269;;;TUCUMAN;299;;TUCUMAN 299;San Nicolas;Comuna 1;1049;C1049AAE
-58,3792959;-34,60572562;2162;CAFE EL URBANO;RESTAURANTE;TRADICIONAL;MODERNO;4328 6409;;;SUIPACHA;237;;SUIPACHA 237;San Nicolas;Comuna 1;1008;C1008AAE
-58,37405978;-34,60216764;2164;CAFE FINANZAS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4322 6677;;lunes a sábado de 7 a 22;LAVALLE;502;;LAVALLE 502;San Nicolas;Comuna 1;1047;C1047AAL
-58,41033571;-34,5908378;1675;CAFE FLORENCIA;CAFE;MINUTAS;MODERNO;4826 5777;;;GUEMES;3199;;GUEMES 3199;Recoleta;Comuna 2;1425;C1425BKE
-58,40593452;-34,58997638;1677;CAFE FUNDADOR;CAFE;MINUTAS;MODERNO;4827 5040;;;BERUTI;2954;;BERUTI 2954;Recoleta;Comuna 2;1425;C1425BBJ
-58,38806838;-34,6028556;2165;CAFE HOMERO;RESTAURANTE;MINUTAS;MODERNO;4372 3929;;lunes a viernes de 8 a 20;LAVALLE;1501;;LAVALLE 1501;San Nicolas;Comuna 1;1048;C1048AAK
-58,50846285;-34,60372949;2703;CAFE JONATHAN;CAFE;MINUTAS;ELEGANTE;4504 5441;;;BEIRO FRANCISCO;4001;;BEIRO, FRANCISCO AV. 4001;Villa Devoto;Comuna 11;1419;C1419HZC
-58,43503941;-34,62140023;973;CAFE JONATHAN;BAR;INTERNACIONAL;ELEGANTE;4902 5473;;;MORENO JOSE MARIA;304;;MORENO, JOSE MARIA AV. 304;Caballito;Comuna 6;1424;C1424AAQ
-58,46400749;-34,62652789;1133;CAFE LA FORJA;RESTAURANTE;MINUTAS;ANTIGUO;4637 3955;;;BACACAY;2414;;BACACAY 2414;Flores;Comuna 7;1406;C1406GDR
-58,38928635;-34,60421038;2167;CAFE LA PAZ;RESTAURANTE;MINUTAS;MODERNO;4373 3647;;lunes a domingo de 7 a 00;CORRIENTES;1593;;CORRIENTES AV. 1593;San Nicolas;Comuna 1;1042;C1042AAB
-58,46612239;-34,53977249;1499;CAFE LEON;RESTAURANTE;MINUTAS;MODERNO;4701 8671;cafaleonramallo@hotmail.com;;RAMALLO;1736;;RAMALLO 1736;Núñez;Comuna 13;1429;C1429DUB
-58,43749488;-34,60462927;2658;CAFE LE PARC;;INTERNACIONAL;ANTIGUO;4856 3243;;;GALLARDO ANGEL;401;;GALLARDO, ANGEL AV. 401;Villa Crespo;Comuna 15;1405;C1405DJE
-58,38931571;-34,58774894;1676;CAFE MARTINEZ;CAFE;PIZZERIA;MODERNO;4805 7509;;;AYACUCHO;1985;;AYACUCHO 1985;Recoleta;Comuna 2;1112;C1112AAI
-58,38798265;-34,59926341;1678;CAFE MARTINEZ;CAFE;MINUTAS;CLASICO PORTEÑO;4816 3223;;;CORDOBA;1499;;CORDOBA AV. 1499;Recoleta;Comuna 2;1055;C1055AAE
-58,41916238;-34,57324706;77;CAFE MARTINEZ;CAFE;;;;;;DEL LIBERTADOR;3598;;DEL LIBERTADOR AV. 3598;Palermo;Comuna 14;1425;C1425ABV
-58,40986255;-34,58003573;79;CAFE MARTINEZ;CAFE;;;4804 6804;;;SCALABRINI ORTIZ RAUL;3195;;SCALABRINI ORTIZ, RAUL 3195;Palermo;Comuna 14;1425;C1425DBM
-58,38853736;-34,59519359;1679;CAFE MARTINIQUE;CAFE;;;4815 6565;;;PARANA;1156;;PARANA 1156;Recoleta;Comuna 2;1018;C1018ADD
-58,38885988;-34,58929562;1680;CAFE MONET;CAFE;MINUTAS;CLASICO PORTEÑO;4812 6983;;lunes a domingo de 7 a 00;QUINTANA MANUEL PRES.;400;;QUINTANA, MANUEL, PRES. 400;Recoleta;Comuna 2;1014;C1014ACQ
-58,38589369;-34,61476574;1359;CAFE MONSERRAT;CAFE;SANDWICHERIA;MODERNO;4381 2588;;;SAN JOSE;524;;SAN JOSE 524;Monserrat;Comuna 1;1076;C1076AAL
-58,37399174;-34,59852349;1964;CAFE ORLEANS;CAFE;MINUTAS;CLASICO PORTEÑO;4311 5194;;;CORDOBA;499;;CORDOBA AV. 499;Retiro;Comuna 1;1054;C1054AAD
-58,46473876;-34,60342653;2733;CAFE PARAISO;CAFE;SANDWICHERIA;CLASICO PORTEÑO;;;;ALVAREZ DONATO Tte. Gral.;2080;;ALVAREZ, DONATO, Tte. Gral. AV. 2080;Villa Gral. Mitre;Comuna 11;1416;C1416BTW
-58,38116944;-34,59952036;2166;CAFE PELLEGRINI;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4322 1555;;lunes a sábado de 8 a 1;PELLEGRINI CARLOS;761;;PELLEGRINI, CARLOS 761;San Nicolas;Comuna 1;1009;C1009ABO
-58,38122571;-34,59525766;1965;CAFE PLAZA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4393 4833;;lunes a domingo de 12 a 3;SANTA FE;999;;SANTA FE AV. 999;Retiro;Comuna 1;1059;C1059ABD
-58,39110968;-34,58807379;1682;CAFE QUINTANA;RESTAURANTE;MINUTAS;ANTIGUO;4804 0016;;;ORTIZ ROBERTO M. Pres.;1865;;ORTIZ, ROBERTO M., Pres. 1865;Recoleta;Comuna 2;1113;C1113ABA
-58,38951521;-34,58876085;1681;CAFE QUINTANA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4805 1328;;;QUINTANA MANUEL PRES.;460;;QUINTANA, MANUEL, PRES. AV. 460;Recoleta;Comuna 2;1129;C1129ABN
-58,35875325;-34,63624692;1229;CAFE ROMA;CAFE;SANDWICHERIA;ANTIGUO;4302 1354;;lunes a domingo de 7 a 20;OLAVARRIA;409;;OLAVARRIA 409;Boca;Comuna 4;1162;C1162ABI
-58,37213209;-34,62195006;2556;CAFE SAN JUAN;RESTAURANTE;INTERNACIONAL;FRANCES;4300 1112;;martes a domingo de 10 a 00;SAN JUAN;450;;SAN JUAN AV. 450;San Telmo;Comuna 1;1147;C1147AAP
-58,38711952;-34,5967536;1966;CAFE SMPSON;RESTAURANTE;SANDWICHERIA;ANTIGUO;4813 4910;;;URUGUAY;1026;;URUGUAY 1026;Recoleta;Comuna 2;1016;C1016ACB
-58,37057744;-34,61076363;1360;CAFE STATUS;CAFE;MINUTAS;MODERNO;;;;BALCARCE;254;;BALCARCE 254;Monserrat;Comuna 1;1064;C1064AAF
-58,37254651;-34,604399;2168;CAFE STERLING;RESTAURANTE;MINUTAS;MODERNO;4394 8761;;lunes a viernes de 7 a 20;SARMIENTO;402;;SARMIENTO 402;San Nicolas;Comuna 1;1041;C1041AAJ
-58,38611751;-34,61125055;1361;CAFETERIA 2003;RESTAURANTE;MINUTAS;MODERNO;4381 4773;;;SAN JOSE;220;;SAN JOSE 220;Monserrat;Comuna 1;1076;C1076AAF
-58,38855076;-34,63415756;898;CAFETERIA F.A.S;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;;PERDRIEL;25;;PERDRIEL 25;Barracas;Comuna 4;1280;C1280AEA
-58,38951727;-34,60118962;2172;CAFETERIA MONTEVIDEO;CAFE;MINUTAS;;4373 5840;;lunes a viernes de 8 a 19.30;MONTEVIDEO;667;;MONTEVIDEO 667;San Nicolas;Comuna 1;1019;C1019ABM
-58,46783312;-34,61140548;2734;CAFE TIEMPO;CAFE;PIZZERIA;CLASICO PORTEÑO;;;;BOYACA;1600;;BOYACA 1600;Villa Gral. Mitre;Comuna 11;1416;C1416AAJ
-58,39636666;-34,60904221;720;CAFETIN;CAFE;;;4952 7282;;;JUNIN;16;;JUNIN 16;Balvanera;Comuna 3;1026;C1026ABB
-58,37812207;-34,60882556;1362;CAFE TORTONI;RESTAURANTE;PARRILLA;ANTIGUO;4342 4328;;lunes a sábado de 8 a 3.30 - domingo de 8 a 1;DE MAYO;825;;DE MAYO AV. 825;Monserrat;Comuna 1;1084;C1084AAD
-58,37911821;-34,60596598;2169;CAFE VIENES;BAR;FAST FOOD;MODERNO;4327 0407;;lunes a domingo de 7 a 1;PERON JUAN DOMINGO TTE.;893;;PERON, JUAN DOMINGO, TTE. GENERAL 893;San Nicolas;Comuna 1;1038;C1038AAQ
-58,38142267;-34,59508743;1967;CAFE VINCENT;CAFE;MINUTAS;CLASICO PORTEÑO;4394 0933;;lunes a sábado de 9 a 22;PELLEGRINI CARLOS;1123;;PELLEGRINI, CARLOS 1123;Retiro;Comuna 1;1009;C1009ABW
-58,39155096;-34,60001665;2171;CAFE Y BAR ENCUENTRO;BAR;MINUTAS;;4813 0915;;;RODRIGUEZ PEÃƒâ€˜A;780;;RODRIGUEZ PEÃƒâ€˜A 780;San Nicolas;Comuna 1;;
-58,44819938;-34,56816538;80;CAFFE CITY;CAFE;;;;;;CABILDO;1209;;CABILDO AV. 1209;Palermo;Comuna 14;1426;C1426AAM
-58,40446889;-34,58090442;78;CAFFE TABAC;BAR;MINUTAS;CLASICO PORTEÑO;4802 1191;;;DEL LIBERTADOR;2300;;DEL LIBERTADOR AV. 2300;Palermo;Comuna 14;1425;C1425AAV
-58,37794795;-34,60944611;1363;CAFIOLO;RESTAURANTE;MINUTAS;;4331 3448;;lunes a viernes de 7 a 20;YRIGOYEN HIPOLITO;802;;YRIGOYEN, HIPOLITO 802;Monserrat;Comuna 1;1086;C1086AAN
-58,37765351;-34,60338505;2173;CAIMUN;RESTAURANTE;INTERNACIONAL;;4394 6742;;;CORRIENTES;777;;CORRIENTES AV. 777;San Nicolas;Comuna 1;1043;C1043AAH
-58,44594656;-34,62234551;976;CALCIO;RESTAURANTE;INTERNACIONAL;FUTBOL;4988 9289;;;RIVADAVIA;5701;;RIVADAVIA AV. 5701;Caballito;Comuna 6;1406;C1406GLA
-58,42709596;-34,59067705;81;CALDEN DEL SOHO;BAR;TRADICIONAL;CLASICO PORTEÑO;4833 2211;;;HONDURAS;4701;;HONDURAS 4701;Palermo;Comuna 14;1414;C1414BMK
-58,43136985;-34,59503183;2659;CALE;RESTAURANTE;MINUTAS;MODERNO;4771 1926;;;SCALABRINI ORTIZ RAUL;1000;;SCALABRINI ORTIZ, RAUL AV. 1000;Villa Crespo;Comuna 15;1414;C1414DNW
-58,43784678;-34,5855675;82;CALLE ROY;RESTAURANTE;MEDITERRANEA;MODERNO;4772 8281;www.calleroy.com.ar;martes a sábado de 21 al cierre;FITZ ROY;1519;;FITZ ROY 1519;Palermo;Comuna 14;1414;C1414CHU
-58,45949017;-34,56212776;495;CAMBALACHE;RESTAURANTE;PIZZERIA;MODERNO;4788 6043;;;AMENABAR;2204;;AMENABAR 2204;Belgrano;Comuna 13;1428;C1428CQJ
-58,37315393;-34,61471991;1365;CAMBALACHE;RESTAURANTE;INTERNACIONAL;TANGO;4342 4244;;;BOLIVAR;592;;BOLIVAR 592;Monserrat;Comuna 1;1066;C1066AAL
-58,45280711;-34,54735864;496;CAMERUN;RESTAURANTE;MINUTAS;ANTIGUO;4782 1403;;;UDAONDO GUILLERMO;1308;;UDAONDO, GUILLERMO AV. 1308;Belgrano;Comuna 13;1428;C1428BJR
-58,36240049;-34,63830602;1230;CAMINITO TANGO SHOW;CAFE;INTERNACIONAL;TANGO;4301 1520;;;VALLE IBERLUCEA del Dr.;1158;;VALLE IBERLUCEA del, Dr. 1158;Boca;Comuna 4;1160;C1160ABL
-58,39824447;-34,58937525;1683;CAMPECHANO;RESTAURANTE;PARRILLA;MODERNO;4806 6015;campechano@argentina.com;;LARREA;1541;;LARREA 1541;Recoleta;Comuna 2;1117;C1117ABO
-58,43105307;-34,57217029;84;CAMPO BRAVO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4514 5820;;;BAEZ;292;;BAEZ 292;Palermo;Comuna 14;1426;C1426BRF
-58,43742991;-34,60156803;85;CAMPO DEI FIORI;RESTAURANTE;ITALIANA;CLASICO PORTEÑO;4856 7868;www.grupoplaza.com.ar;;ALVAREZ JULIAN;299;;ALVAREZ, JULIAN 299;Villa Crespo;Comuna 15;1414;C1414DRE
-58,38610047;-34,61453077;1364;CAMPO DEI FIORI;RESTAURANTE;ITALIANA;ESPAÑOL;4381 1800;www.grupoplazamayor.com;;VENEZUELA;1401;;REPUBLICA BOLIVARIANA DE VENEZUELA 1401;Monserrat;Comuna 1;1095;C1095ABC
-58,43051072;-34,57108007;83;CAMPO DEI FIORI;RESTAURANTE;ITALIANA;CLASICO PORTEÑO;4778 0550;;;ARCE;305;;ARCE 305;Palermo;Comuna 14;1426;C1426BSC
-58,40170258;-34,59324909;1684;CAMPOS DEL PILAR;RESTAURANTE;TRADICIONAL;;4807 5488;;lunes a lunes de 12 a 15 y de 20 a 00;PUEYRREDON AV;1501;;PUEYRREDON AV. 1501;Recoleta;Comuna 2;1118;C1118AAF
-58,40860403;-34,58051996;86;CANAL;RESTAURANTE;PARRILLA;;4802 6461;;;SALGUERO JERONIMO;2692;;SALGUERO, JERONIMO 2692;Palermo;Comuna 14;1425;C1425DEX
-58,49077089;-34,63281613;2632;CANDIDO;RESTAURANTE;ESPAÃ‘OLA;ESPAÑOL;4671 9500;;;CARRASCO;394;;CARRASCO AV. 394;Velez Sarsfield;Comuna 10;1407;C1407AVF
-58,38321685;-34,59903946;1968;CANDILEJAS;CAFE;;;;;;CORDOBA;1147;;CORDOBA AV. 1147;Retiro;Comuna 1;1055;C1055AAB
-58,39761238;-34,59287084;1685;CANELA;RESTAURANTE;DE AUTOR;CLASICO PORTEÑO;4825 8330;;;JUNCAL;2124;;JUNCAL 2124;Recoleta;Comuna 2;1125;C1125ABB
-58,42478925;-34,57735812;89;CANGAS DE NARCEA;RESTAURANTE;ESPAÃ‘OLA;CLASICO PORTEÑO;4773 3351;;;BERUTI;4643;;BERUTI 4643;Palermo;Comuna 14;1425;C1425BDE
-58,38297298;-34,60856653;1366;CANTARES;RESTAURANTE;TAPAS;;4381 6965;info@cantarestablao.com.ar;;RIVADAVIA AV;1180;;RIVADAVIA AV. 1180;Monserrat;Comuna 1;1033;C1033AAO
-58,43340836;-34,60176066;2662;CANTEGRILL;RESTAURANTE;PARRILLA;MODERNO;4857 6002;;;CORRIENTES;4800;;CORRIENTES AV. 4800;Villa Crespo;Comuna 15;1414;C1414AJN
-58,46864333;-34,63056573;1135;CANTEGRILL;RESTAURANTE;;;;;;RIVADAVIA;7326;;RIVADAVIA AV. 7326;Flores;Comuna 7;1406;C1406GMQ
-58,46717556;-34,57864123;2837;Cantina Don Chicho;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;011 4556-1463;;lunes a lunes de 20 a 15 y de 20 al cierre;ZÃƒÂ¡rraga;3991;;ZARRAGA 3991;Villa Ortuzar;Comuna 15;;
-58,4030404;-34,59764097;87;CANTON;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4778 3896;;;PARAGUAY;2476;;PARAGUAY 2476;Recoleta;Comuna 2;1121;C1121ABN
-58,42485266;-34,57973257;90;CANTONES;RESTAURANTE;INTERNACIONAL;;;;;FRAY JUSTO SANTAMARIA DE ORO;2466;;FRAY JUSTO SANTAMARIA DE ORO 2466;Palermo;Comuna 14;1425;C1425FOJ
-58,37668351;-34,60191776;2175;CAPATAZ;RESTAURANTE;;;;;;MAIPU;529;;MAIPU 529;San Nicolas;Comuna 1;1006;C1006ACE
-58,45593975;-34,56201953;497;CAPISCI;RESTAURANTE;PORTEÃ‘A;ANTIGUO;4788 4400;;;SAGASTA ISLA JOSE MARIA;2072;;SAGASTA ISLA, JOSE MARIA 2072;Belgrano;Comuna 13;1428;C1428ABB
-58,39383523;-34,6050086;721;CAPITAN COCO;CAFE;MINUTAS;CLASICO PORTEÑO;1556969212;;;RIOBAMBA;360;;RIOBAMBA 360;Balvanera;Comuna 3;1025;C1025ABH
-58,37932647;-34,6067821;2174;CAPITELES;RESTAURANTE;TRADICIONAL;MODERNO;4325 0889;;lunes a viernes de 8 a 18;SUIPACHA;130;;SUIPACHA 130;San Nicolas;Comuna 1;1008;C1008AAD
-58,47092194;-34,62484883;1136;CAPITULO V;RESTAURANTE;PORTEÃ‘A;MODERNO;4637 2555;;;ARANGUREN JUAN F. Dr.;2802;;ARANGUREN, JUAN F., Dr. 2802;Flores;Comuna 7;1406;C1406FXB
-58,37453208;-34,61509197;1367;CAPRI;RESTAURANTE;INTERNACIONAL;COLONIAL;4361 9600;;lunes a sábado de 8 a 20;PERU;602;;PERU 602;Monserrat;Comuna 1;1068;C1068AAD
-58,38523507;-34,60399942;2176;CAPRIATTI;RESTAURANTE;ITALIANA;MODERNO;;;lunes a domingo de 7 a 00;CORRIENTES;1302;;CORRIENTES AV. 1302;San Nicolas;Comuna 1;1043;C1043ABN
-58,43212639;-34,62572744;975;CAPRICCIO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4924 9942;;;GOYENA PEDRO;358;;GOYENA, PEDRO AV. 358;Caballito;Comuna 6;1424;C1424BSQ
-58,42561191;-34,58556276;2818;Caracas Bar;BAR;VENEZOLANA;MODERNO;47768704;infocaracasbar@gmail.com;lunes a lunes de 12.30 a 4.30;guatemala;4802;;GUATEMALA 4802;Palermo;Comuna 14;1425;C1425BUP
-58,47380556;-34,57767254;2753;CARA NAPOLI;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4522 8975;;lunes a lunes de 7.30 a 00;ALVAREZ THOMAS;2302;;ALVAREZ THOMAS AV. 2302;Villa Ortuzar;Comuna 15;1431;C1431FON
-58,37318673;-34,59296463;1969;CARDINALE;RESTAURANTE;ITALIANA;ITALIANA;4318 9000;;lunes a domingo de 6 a 00;SAN MARTIN;1225;;SAN MARTIN 1225;Retiro;Comuna 1;1104;C1104AKC
-58,43542784;-34,5847713;88;CARITO MORENA;RESTAURANTE;PARRILLA;MODERNO;4772 2277;;;HONDURAS;5501;;HONDURAS 5501;Palermo;Comuna 14;1414;C1414BNC
-58,39154839;-34,58877138;1686;CARLITOS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4806 9265;;;GUIDO;1962;;GUIDO 1962;Recoleta;Comuna 2;1119;C1119AAD
-58,36353417;-34,63623364;1231;CARLITOS;RESTAURANTE;ITALIANA;CLASICO PORTEÑO;4342 2433;juanzinola@hotmail.com;lunes a sábado de 12 a 15 y de 20 a 00;BRANDSEN;694;;BRANDSEN 694;Boca;Comuna 4;1161;C1161AAN
-58,41322672;-34,58459457;91;CARMESI;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4833 7667;;;ARAOZ;2701;;ARAOZ 2701;Palermo;Comuna 14;1425;C1425DGQ
-58,43837401;-34,58729513;92;CARNAL;RESTAURANTE;;;;;;VEGA NICETO Cnel.;5507;;VEGA, NICETO, Cnel. AV. 5507;Palermo;Comuna 14;1414;C1414BFC
-58,39595176;-34,59962489;1687;CARNER BAR;RESTAURANTE;PORTEÃ‘A;MODERNO;4966 0963;;;CORDOBA;2001;;CORDOBA AV. 2001;Recoleta;Comuna 2;1120;C1120AAC
-58,38049405;-34,60494162;2177;CAROBEL;RESTAURANTE;INTERNACIONAL;;4327 0552;;;SARMIENTO;964;;SARMIENTO 964;San Nicolas;Comuna 1;1041;C1041AAT
-58,40351801;-34,60589662;722;CARROT;RESTAURANTE;;;;;;PASO;327;;PASO 327;Balvanera;Comuna 3;1031;C1031ABG
-58,52713202;-34,64035843;1267;CARTAN;RESTAURANTE;TENEDOR LIBRE;MODERNO;4644 2917;;;FALCON RAMON L.CNEL.;7158;;FALCON, RAMON L.,CNEL. 7158;Liniers;Comuna 9;1408;C1408DSJ
-58,39470641;-34,59558064;1690;CARTOON;RESTAURANTE;INTERNACIONAL;MODERNO;4812 1764;;;RIOBAMBA;1112;;RIOBAMBA 1112;Recoleta;Comuna 2;1116;C1116ABH
-58,3935316;-34,60922435;725;CASABLANCA;RESTAURANTE;;;;;;RIVADAVIA AV;1901;;RIVADAVIA AV. 1901;Balvanera;Comuna 3;1033;C1033AAJ
-58,40472105;-34,59202692;1688;CASA DE LA NONNA;RESTAURANTE;ITALIANA;MODERNO;4821 4000;;lunes a domingo de 9 a 00;ARENALES;2771;;ARENALES 2771;Recoleta;Comuna 2;1425;C1425BEE
-58,37491489;-34,61964787;2559;CASA DE LAS PIZZAS;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4300 4341;;lunes a domingo de 10 a 14 y de 18 a 23;CALVO CARLOS;637;;CALVO, CARLOS 637;San Telmo;Comuna 1;1102;C1102AAM
-58,37393829;-34,60121489;2178;CASA ROCA;RESTAURANTE;TRADICIONAL;ANTIGUO;4393 5777;www.casa-roca.com.ar;lunes a viernes de 12 a 16;SAN MARTIN;579;;SAN MARTIN 579;San Nicolas;Comuna 1;1004;C1004AAK
-58,43614493;-34,56686441;498;CASITA CHINA;RESTAURANTE;CHINA;CHINA;4771 6681;;martes a domingo de 12 a 15;MAURE;1711;;MAURE 1711;Palermo;Comuna 14;1426;C1426CUE
-58,39743387;-34,61200426;723;CASITAS II;RESTAURANTE;;;;;;PASCO;212;;PASCO 212;Balvanera;Comuna 3;1081;C1081AAF
-58,37812879;-34,59881514;1970;CASTELAR;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4314 6869;;;CORDOBA;799;;CORDOBA AV. 799;Retiro;Comuna 1;1054;C1054AAG
-58,43521569;-34,59436589;2660;CASTILLO 601;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;;CASTILLO;601;;CASTILLO 601;Villa Crespo;Comuna 15;1414;C1414AWM
-58,3712453;-34,61711495;2561;CATALINAS;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4362 4714;;;INDEPENDENCIA;375;;INDEPENDENCIA AV. 375;San Telmo;Comuna 1;1099;C1099AAD
-58,39831268;-34,60599306;726;CATALINO;RESTAURANTE;MINUTAS;ESPAÑOL;4952 1935;;;SARMIENTO;2227;;SARMIENTO 2227;Balvanera;Comuna 3;1044;C1044AAI
-58,4730552;-34,68536438;2787;CATEDRAL;CAFE;PIZZERIA;MODERNO;;;;FERNANDEZ DE LA CRUZ F. GRAL.;6197;;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6197;Villa Riachuelo;Comuna 8;1439;C1439COM
-58,432437;-34,58004001;93;CAVAS & CUEVAS GRAND BAR;RESTAURANTE;DE AUTOR;CLASICO PORTEÑO;4773 0598;;;GUATEMALA;5650;;GUATEMALA 5650;Palermo;Comuna 14;1425;C1425BVJ
